Sequence 1,Sequence 2,Sequence 3,Sequence 4,Sequence 5,Sequence 6,Sequence 7,Sequence 1,Sequence 9,Sequence 10,Sequence 11,Sequence 12
5,4,4,5,4,6,1,1,1,1,1,1
4,4,5,4,6,4,4,4,4,4,4,5
5,6,6,10,10,5,9,7,6,6,6,10
4,3,5,4,3,1,2,1,1,3,1,4
7,3,6,3,6,8,7,5,7,7,8,7
6,7,5,5,7,7,6,6,4,5,7,6
4,6,4,4,4,6,4,4,4,3,6,5
8,7,6,8,7,8,6,6,7,9,6,9
7,6,4,4,7,8,7,5,5,7,7,7
5,5,4,4,4,4,2,2,2,1,1,6
5,5,4,4,4,4,2,2,2,1,1,6
5,3,4,6,5,8,4,6,1,6,7,8
5,5,7,6,6,4,4,4,5,3,5,7
7,5,8,8,4,5,6,6,5,8,8,7
5,4,7,6,6,8,7,4,6,8,5,9
5,6,7,5,3,6,4,4,5,5,6,6
9,9,9,9,9,9,9,9,9,9,9,9
10,10,10,10,10,10,10,10,10,10,10,10
4,3,2,1,2,1,2,4,1,1,5,1
0,0,0,0,0,0,0,0,0,0,0,0
7,8,4,9,3,7,4,5,7,9,5,3
5,5,3,3,3,4,2,3,3,3,3,3
