Sequence 1:,Sequence 2:,Sequence 3:,Sequence 4,Sequence 5,Sequence 6,Sequence 7,Sequence 8,Sequence 9,Do you play a musical instrument?,"What is your faculty?  If you are not a student, which of the following best describes the field you work in?"
Computer-Generated,Man-made,Man-made,Man-made,Random,Machine-Generated,Machine-generated,Computer-Generated,Random,Yes,Sciences
Computer-Generated,Man-made,Man-made,Man-made,Machine-Generated,Man-made,Machine-generated,Computer-Generated,Random,Yes,Sciences
Computer-Generated,Man-made,Computer-Generated,Computer-generated,Random,Random,Machine-generated,Random,Computer-Generated,Yes,Sciences
Computer-Generated,Random,Man-made,Computer-generated,Machine-Generated,Machine-Generated,Man-made,Random,Random,Yes,Sciences
Random,Man-made,Computer-Generated,Man-made,Random,Machine-Generated,Machine-generated,Computer-Generated,Random,No,Sciences
Computer-Generated,Computer-Generated,Man-made,Computer-generated,Machine-Generated,Machine-Generated,Man-made,Man-made,Computer-Generated,Yes,Sciences
Computer-Generated,Man-made,Man-made,Computer-generated,Machine-Generated,Machine-Generated,Man-made,Man-made,Computer-Generated,Yes,Sciences
Computer-Generated,Man-made,Man-made,Computer-generated,Machine-Generated,Machine-Generated,Man-made,Man-made,Random,No,Sciences
Man-made,Computer-Generated,Man-made,Man-made,Machine-Generated,Man-made,Man-made,Man-made,Random,No,Arts and Humanities
Computer-Generated,Computer-Generated,Man-made,Computer-generated,Machine-Generated,Man-made,Man-made,Man-made,Man-made,No,Sciences
Random,Computer-Generated,Man-made,Man-made,Random,Machine-Generated,Man-made,Computer-Generated,Random,No,Arts and Humanities
Random,Computer-Generated,Man-made,Computer-generated,Random,Man-made,Machine-generated,Man-made,Random,No,Sciences
Man-made,Computer-Generated,Man-made,Man-made,Machine-Generated,Machine-Generated,Machine-generated,Man-made,Man-made,No,Sciences
Computer-Generated,Computer-Generated,Man-made,Computer-generated,Random,Man-made,Man-made,Man-made,Computer-Generated,No,Sciences
Computer-Generated,Man-made,Man-made,Computer-generated,Machine-Generated,Machine-Generated,Man-made,Computer-Generated,Computer-Generated,Yes,Sciences
Computer-Generated,Man-made,Computer-Generated,Man-made,Machine-Generated,Machine-Generated,Machine-generated,Computer-Generated,Computer-Generated,Yes,Sciences
Computer-Generated,Man-made,Man-made,Random,Machine-Generated,Machine-Generated,Man-made,Man-made,Computer-Generated,Yes,Music
Computer-Generated,Man-made,Computer-Generated,Man-made,Random,Machine-Generated,Machine-generated,Man-made,Random,Yes,Other
Random,Computer-Generated,Man-made,Computer-generated,Machine-Generated,Machine-Generated,Man-made,Man-made,Computer-Generated,No,Medicine
Computer-Generated,Man-made,Man-made,Random,Random,Man-made,Man-made,Computer-Generated,Man-made,Yes,Music
Computer-Generated,Man-made,Computer-Generated,Man-made,Random,Man-made,Man-made,Man-made,Computer-Generated,Yes,Engineering
Computer-Generated,Man-made,Man-made,Computer-generated,Machine-Generated,Man-made,Man-made,Man-made,Computer-Generated,Yes,Sciences
Computer-Generated,Computer-Generated,Man-made,Man-made,Machine-Generated,Machine-Generated,Machine-generated,Man-made,Computer-Generated,No,Sciences
Random,Computer-Generated,Man-made,Computer-generated,Random,Machine-Generated,Man-made,Man-made,Computer-Generated,Yes,Sciences
Random,Computer-Generated,Man-made,Computer-generated,Random,Man-made,Man-made,Computer-Generated,Random,No,Other
Random,Computer-Generated,Man-made,Computer-generated,Random,Machine-Generated,Man-made,Man-made,Random,Yes,Music
Computer-Generated,Man-made,Man-made,Man-made,Random,Man-made,Machine-generated,Computer-Generated,Computer-Generated,Yes,Business
Computer-Generated,Random,Random,Random,Random,Machine-Generated,Machine-generated,Computer-Generated,Computer-Generated,No,Engineering
